claim_id,claimant_name,claimant_email,claimant_phone,policy_id,policy_type,policy_start_date,loss_date,loss_description,report_date,claim_amount,policy_limit,claim_as_pct_of_limit,days_to_report,estimated_loss_value,num_previous_claims,repair_vendor,repair_estimate,supporting_docs_count,adjuster_notes,fraud_indicators,is_fraud,fraud_confidence_score
CLM-000011,Tiffany Barnes,tracynelson@example.com,2658627298,POL-899550,auto,2024-08-08,2026-03-13,North agree poor career left anyone here deep force seven here sell story.,2026-03-18,12570.43,50000,25.14,5,13652.11,4,Conley-Ruiz,14777.14,7,Appear weight difference attention whatever American all easy stuff perform draw list boy way let eight hard paper white.,NONE,FALSE,0.0
CLM-000012,Carla Collins,hickmanbarbara@example.com,(831)793-1491x9058,POL-480612,home,2025-05-17,2026-02-16,Media game support state black whether.,2026-02-19,10283.51,50000,20.57,3,8405.51,4,"Snow, Stevens and Hernandez",12176.55,3,Safe whole establish space Mrs low itself room environmental system store beautiful.,NONE,FALSE,0.0
CLM-000013,John Bishop,frogers@example.com,(273)554-5494,POL-897549,umbrella,2024-03-23,2026-06-15,Drop image new drive live Republican large.,2026-06-21,10233.82,50000,20.47,6,8573.16,5,Davis and Sons,10669.62,7,Reality fill ok list most international second former reflect even edge building court build movie several.,NONE,FALSE,0.0
CLM-000014,John Hardy,tina34@example.org,(924)308-2400x842,POL-543692,auto,2022-05-17,2025-01-22,Off light key continue anything wait.,2025-01-24,6036.08,100000,6.04,2,5805.43,5,Wilson-Jones,6681.7,8,Available picture approach chance none fight yes budget share paper so difficult mission late kind team wrong figure.,NONE,FALSE,0.0
CLM-000015,Natalie Meza,colleenbaker@example.org,(932)681-2067,POL-491559,home,2023-04-30,2025-12-06,Discuss religious reflect law reach under.,2025-12-09,8580.85,100000,8.58,3,8197.05,0,"Lawrence, Lara and Gonzalez",8360.94,3,Name positive training step author coach film see notice eye buy.,NONE,FALSE,0.0
CLM-000016,Terri Mason,mkim@example.org,(959)940-1399x04902,POL-717024,auto,2025-12-19,2026-01-25,Consider one play man before girl four prove tax.,2026-01-28,1399.65,100000,1.4,3,1149.53,5,Jenkins-Simpson,1284.41,3,Spend nearly lawyer fire follow wife identify method write price my including could gun series personal.,NONE,FALSE,0.0
CLM-000017,Joshua Pennington,fgilmore@example.org,3935248086,POL-349565,home,2024-04-02,2026-03-18,Left brother strategy marriage respond meeting event.,2026-03-19,17333.07,50000,34.67,1,16390.57,4,Baird-Sanchez,16287.77,7,Certain course out second carry attorney significant take future skin environment able rise study oil process tend land machine.,NONE,FALSE,0.0
CLM-000018,Jamie Cantu,tinaallen@example.com,260.457.6627,POL-946721,home,2024-09-28,2025-05-10,Whole forward beyond suddenly between treat address century that wide avoid sit.,2025-05-15,9980.75,100000,9.98,5,8267.03,5,Morgan-Schwartz,10273.34,6,System system teacher here first responsibility service their along attention.,NONE,FALSE,0.0
CLM-000019,Yolanda Francis,wgood@example.net,001-817-424-0050x455,POL-806073,umbrella,2024-01-23,2025-12-14,Most not society color bad that people drive tree.,2025-12-18,9873.47,100000,9.87,4,8190.29,3,Hall Ltd,11043.12,3,Least project together let explain national available war write federal while real lead.,NONE,FALSE,0.0
CLM-000020,Dr. Ashley James MD,victoria40@example.net,(640)490-9743x9533,POL-246991,home,2024-09-12,2025-04-17,Best physical always small almost half capital travel force indeed customer skill theory hand.,2025-04-19,4640.21,100000,4.64,2,4099.92,1,"Mcintyre, Rivas and Scott",5393.53,3,Whose far that sound life away senior difficult put purpose however suffer newspaper bed house enough buy happy.,NONE,FALSE,0.0
CLM-000021,James Little,daniel37@example.org,+1-285-693-1746x120,POL-202664,auto,2024-04-12,2026-03-10,Break doctor Mr home he we recent music onto risk those pressure.,2026-03-14,16352.42,100000,16.35,4,17984.14,0,Gilbert-Crosby,19470.81,4,Allow have kitchen wear talk between rate name within grow huge couple business summer.,NONE,FALSE,0.0
CLM-000022,Maria Harper,williamsmatthew@example.org,001-431-283-9335,POL-520521,auto,2025-01-21,2025-08-07,Teach certain candidate economy company produce ago address so.,2025-08-09,8721.87,50000,17.44,2,7969.1,3,Chapman Inc,8543.6,6,Enter camera inside box as large gun order later develop past road.,NONE,FALSE,0.0
CLM-000023,Elizabeth Schneider,browntimothy@example.com,(717)871-1592x12499,POL-921414,umbrella,2024-07-28,2026-07-05,Most law painting between reduce table prepare shoulder result Democrat later direction fund.,2026-07-08,9037.14,100000,9.04,3,9177.42,1,Ross-Blair,8648.27,4,Interview professor hear check type attack story behavior benefit school speech news only no form.,NONE,FALSE,0.0
CLM-000024,Maurice Christensen,schmittcaroline@example.com,798-332-7315,POL-884309,home,2024-09-10,2024-12-07,Off southern suddenly window stand party poor ago upon.,2024-12-08,12004.43,100000,12.0,1,9784.12,3,"Adams, White and Park",12614.92,7,Tv go consider century price attorney scientist will begin most heavy law church find.,NONE,FALSE,0.0
CLM-000025,Linda Ware,ericwilliamson@example.net,547-367-9764,POL-539589,umbrella,2023-08-16,2025-05-04,Involve exist question main project animal house out account feeling.,2025-05-15,20000.0,50000,40.0,11,12994.3,4,Saunders LLC,23608.24,4,Foreign account section compare herself region matter street south author technology amount affect TV.,short_policy_coverage,TRUE,0.12
CLM-000026,Laura Mckinney,zroberts@example.org,829-675-1613x69681,POL-515011,auto,2024-06-14,2026-06-01,Develop single baby plan most create simply go when population.,2026-06-07,14607.64,50000,29.22,6,14514.88,3,Young and Sons,14532.46,3,Culture own set pretty concern significant management senior service large under north play.,NONE,FALSE,0.0
CLM-000027,Lori Hernandez,harrisoncrystal@example.com,001-205-781-4770,POL-974244,umbrella,2023-11-20,2025-12-09,Baby ten talk past medical leg never social time.,2025-12-10,25000,100000,25.0,1,18096.14,2,Stout-Armstrong,27508.97,5,Focus little character artist billion tonight gas research mean common easy just.,multiple_claims,TRUE,0.15
CLM-000028,Caitlin Watson,paul59@example.org,+1-451-751-8644x9251,POL-377312,auto,2022-12-29,2025-07-27,Whose recognize hot organization visit finally heavy social spend.,2025-08-02,2968.14,100000,2.97,6,2469.82,4,"Warner, Valentine and Osborn",2809.74,5,Behavior provide meet adult final week game she court yourself choice fast small medical music school money product then.,NONE,FALSE,0.0
CLM-000029,Brittany White,jenniferwilliams@example.com,+1-937-994-7383x47359,POL-820892,umbrella,2023-06-15,2025-12-04,Sing me industry class current painting their appear lose.,2025-12-09,5001.96,50000,10.0,5,4397.7,3,Spencer-Garcia,4878.59,3,Surface expect several evening town challenge join watch develop later glass ago apply maybe dog yes heart agreement.,NONE,FALSE,0.0
CLM-000030,Marie Moody,benjaminlowery@example.com,001-827-379-0104x328,POL-672092,auto,2024-02-18,2026-07-21,Down business draw police performance artist student matter movie.,2026-07-27,22000,50000,44.0,6,15476.29,3,"Robertson, Allen and Thomas",22636.59,1,Ability good number cost property model guess well name skill medical after them analysis hit health section.,inflated_loss_value,TRUE,0.18
CLM-000031,David Sandoval,ingramjill@example.com,(405)385-2772,POL-141832,home,2024-09-25,2025-05-28,Already cut social though firm financial huge spring list already positive.,2025-05-31,7928.38,100000,7.93,3,7965.01,5,Kelly-Norman,7380.04,7,Event son join hundred keep what fund cost reality happen something entire bar interesting issue.,NONE,FALSE,0.0
CLM-000032,Edward Garcia,donna47@example.net,001-362-875-7059x640,POL-920391,home,2024-05-08,2026-09-06,Message seek civil all support question just call door population.,2026-11-02,24000,100000,24.0,57,14981.79,3,Reyes-Bradley,23521.0,2,Check last he know baby case happen fire everything whether ago control military trial brother simple region Democrat partner really.,inflated_loss_value,TRUE,0.18
CLM-000033,Chad Jones,rachelwallace@example.org,+1-555-418-8442x25831,POL-333238,auto,2024-04-25,2026-09-08,So ago network hard sound necessary partner beat finally.,2026-09-12,17571.17,100000,17.57,4,18898.42,2,"Higgins, Fox and Hammond",17422.82,4,Available win politics last quite general there sister policy consider whom item treat area buy check clearly follow remember.,NONE,FALSE,0.0
CLM-000034,Stephanie Singleton,james84@example.org,+1-749-281-8299x2299,POL-444207,home,2022-11-16,2025-05-19,Ball we side enough decision occur.,2025-05-21,1449.62,50000,2.9,2,1189.89,2,"Fowler, Jimenez and Burton",1457.37,7,Politics few each southern image law read citizen indeed less future century technology floor.,NONE,FALSE,0.0
CLM-000035,James Hodges,floressteven@example.com,732.510.4696x325,POL-447235,auto,2026-04-06,2026-09-01,Marriage method material final age war measure whom.,2026-09-05,13910.84,100000,13.91,4,14788.77,2,Aguilar Inc,13264.96,5,Example our successful pull experience account blue care enough.,NONE,FALSE,0.0
CLM-000036,Andrew Williams,michaelroberts@example.com,478.549.9121x65585,POL-863934,home,2024-02-13,2025-06-03,Meeting matter and case four listen lead paper middle foreign party class wrong.,2025-06-04,3059.65,50000,6.12,1,3004.16,4,"Kirby, Wheeler and Romero",2859.84,7,Mother remember feel staff happy purpose woman on someone rise read ago listen whose situation simply officer return.,NONE,FALSE,0.0
CLM-000037,Mark Harvey,rhernandez@example.org,8915307562,POL-101773,umbrella,2023-03-08,2025-11-09,Maybe particularly likely summer road relationship million night your long heavy.,2025-11-11,5839.73,100000,5.84,2,6084.73,5,Stevens PLC,6516.14,8,National put test race sound enough machine whatever everything fear walk word side relate real.,NONE,FALSE,0.0
CLM-000038,Justin Michael,keith98@example.com,(652)640-4157x4733,POL-173372,umbrella,2023-01-03,2025-09-01,Body scientist dream anything toward difficult do.,2025-09-07,13741.94,50000,27.48,6,12354.83,2,Gutierrez Ltd,15102.62,3,Beyond side accept nearly upon imagine various there local current white fly position traditional become off movement rich.,NONE,FALSE,0.0
CLM-000039,Carrie Khan,sarahjohnson@example.com,924.400.4991x5478,POL-799287,home,2025-07-26,2026-07-25,Life cover both class learn either control say so nothing serious compare.,2026-07-31,18100.89,100000,18.1,6,16665.85,2,"Prince, Wilcox and Robertson",19301.41,4,Husband believe word local very according himself land environment form.,NONE,FALSE,0.0
CLM-000040,Deborah Ward,bryanwilson@example.com,(568)441-4593,POL-884475,auto,2024-01-18,2025-11-08,Check security paper indeed near likely Mr professional despite easy senior their.,2025-11-12,13633.66,50000,27.27,4,13234.62,3,Fox PLC,14511.41,3,Back nor article natural measure of change foreign minute break day on before member speak.,NONE,FALSE,0.0
CLM-000041,Joyce Brown,tchambers@example.net,7643039106,POL-708158,umbrella,2023-09-06,2025-08-06,Yes various attorney value all important shoulder she within position inside year.,2025-08-09,6451.36,50000,12.9,3,5784.77,3,West-Stark,6661.98,4,Heart radio product much president girl condition Mr more road development about age fear pull name.,NONE,FALSE,0.0
CLM-000042,Danielle Reed,jacob10@example.net,(890)933-1190x79030,POL-934692,umbrella,2025-03-13,2025-10-02,Music senior simply cell year doctor trouble office.,2025-10-07,9990.54,100000,9.99,5,9967.11,2,"Harper, Chambers and Flores",10536.38,8,Then worry miss including every news option same compare quickly new another general poor.,NONE,FALSE,0.0
CLM-000043,Melissa Russell,nicholas87@example.org,442.870.8668,POL-887625,auto,2023-06-27,2025-06-14,Effort form bad last he movie stop appear help.,2025-06-19,7368.58,100000,7.37,5,6581.07,1,"Morrison, Russo and Lopez",6957.46,3,Right next look thank four whatever address view while bring yourself look drug page daughter trip need simply herself move.,NONE,FALSE,0.0
CLM-000044,Jose Crawford,langjennifer@example.com,655.860.9320,POL-916232,home,2024-09-17,2025-05-29,Charge form here street material pressure range either start.,2025-06-14,17000,100000,17.0,16,13021.51,5,"May, Henry and Jackson",15556.11,4,College result major true my politics arrive almost suggest war property share include successful discuss.,short_policy_coverage,TRUE,0.12
CLM-000045,Jonathan Brooks,bhopkins@example.org,+1-286-800-8484,POL-587213,umbrella,2024-07-14,2026-02-07,Blood benefit chance court money spring environment however.,2026-02-14,3305.81,50000,6.61,7,3624.38,4,Chung-Stevens,3289.91,6,Wrong difficult range summer president teach service behavior here need argue act commercial.,NONE,FALSE,0.0
CLM-000046,Richard Knight,jacobsonsamantha@example.org,297.440.1489,POL-547470,umbrella,2024-05-11,2025-09-09,Administration debate certain star start up federal nor note support.,2025-09-14,16485.12,100000,16.49,5,17625.27,5,"Mosley, Rivera and Campos",19097.16,6,So ready bad seat generation best discussion away painting pass other.,NONE,FALSE,0.0
CLM-000047,Mark Bowers,whenry@example.net,(862)496-1943x1142,POL-390782,umbrella,2025-03-10,2026-08-18,First blood accept final growth especially car cost large never.,2026-08-21,15283.76,100000,15.28,3,15100.73,2,Garcia-Davis,15772.26,8,Behavior our foot history factor hold be top toward within occur college herself catch feeling manage as itself inside.,NONE,FALSE,0.0
CLM-000048,David Wright,mwheeler@example.com,924-706-5965,POL-666390,auto,2025-03-10,2025-08-28,Spring teacher wind carry fly water cut fire who why fact.,2025-08-31,5455.38,50000,10.91,3,4611.16,3,"Chen, Faulkner and Casey",6045.57,8,Heavy staff hotel box nor or nation race nearly well left remain just fact realize.,NONE,FALSE,0.0
CLM-000049,Jennifer Porter,john26@example.com,279-779-6886,POL-668969,home,2025-01-30,2026-04-30,Order trial body eat professor coach partner none population position whom former.,2026-05-02,2220.35,50000,4.44,2,1817.76,3,Rodriguez-Garcia,2257.75,7,Member million oil offer knowledge hospital sign open matter general agency bit indeed.,NONE,FALSE,0.0
CLM-000050,Todd Thomas,matthew38@example.com,(371)477-5140x105,POL-703655,home,2025-03-13,2026-08-13,Might necessary former interview left something picture control price.,2026-08-19,1371.11,100000,1.37,6,1099.31,2,Johnson-Mendez,1356.83,6,Last involve above Democrat everything region somebody officer son Mr hand culture.,NONE,FALSE,0.0
CLM-000051,Katherine Church,candice96@example.net,355-479-2499,POL-664365,umbrella,2022-10-11,2024-12-01,Brother figure consumer really memory industry case himself control player.,2024-12-08,17941.19,100000,17.94,7,17292.43,4,"Ellison, Arias and Thompson",20979.41,6,Majority cell fire late approach grow act carry spring white measure manager.,NONE,FALSE,0.0
CLM-000052,Ryan Burns,cunninghamlaura@example.org,304-638-4279x7881,POL-507746,home,2024-02-08,2026-01-22,Statement happen state among rest national wrong bill stop seem fear yourself.,2026-01-24,6185.77,50000,12.37,2,6208.92,3,Baker-Atkins,6911.08,6,Keep yes simply down specific onto go represent plan coach.,NONE,FALSE,0.0
CLM-000053,Daniel Brown,amanda98@example.org,444-794-8126x04223,POL-513160,umbrella,2023-04-22,2024-12-19,Seven put majority officer environmental increase later plant they.,2024-12-21,19633.72,100000,19.63,2,19612.12,0,Powell Ltd,21456.22,4,Reason theory lawyer maintain old than suggest behavior will play recently sure somebody huge.,NONE,FALSE,0.0
CLM-000054,Kathleen Morris,matthew92@example.net,550.401.7012x7706,POL-497519,home,2025-12-14,2026-08-17,City usually ever pressure economy head tough close how.,2026-08-24,9772.27,50000,19.54,7,9150.85,2,Barber-Fischer,11026.73,6,Pretty region ability live car difficult quite act receive stage write institution car audience him room bill.,NONE,FALSE,0.0
CLM-000055,Breanna Ayala,darlenebyrd@example.org,390.492.7532x69731,POL-364525,auto,2023-12-02,2025-04-26,Operation himself white fire cause everybody base.,2025-04-29,15288.19,100000,15.29,3,12319.45,4,"Burke, Griffith and Mitchell",13998.26,5,Summer probably feeling military meeting security far approach today.,NONE,FALSE,0.0
CLM-000056,Brian Porter MD,hatfieldsarah@example.org,(596)258-2710x9104,POL-783414,auto,2024-05-27,2026-08-07,We huge expert Republican short interest.,2026-08-09,13352.74,100000,13.35,2,10806.49,1,Miller-Herrera,12816.07,3,Check base bad TV window choice force only shake power poor financial join well draw each under break partner area.,NONE,FALSE,0.0
CLM-000057,Casey Smith,jacquelinemartin@example.com,684.325.2410x56481,POL-801978,auto,2024-05-11,2026-01-08,Lawyer growth matter note happy effort bill off reveal direction meeting analysis.,2026-01-13,3895.26,50000,7.79,5,4223.74,3,Sanchez Group,4323.11,5,Him change use tax need trial scientist information focus indicate result even back head maybe.,NONE,FALSE,0.0
CLM-000058,Robert Jarvis,djones@example.com,001-945-718-7053x49493,POL-853252,auto,2024-03-26,2026-06-30,Will young simply run national somebody character usually agency must player really act.,2026-07-02,12511.96,100000,12.51,2,13084.89,2,Smith-Sandoval,11666.52,3,Billion morning draw man art young Republican behavior TV today mind red head window.,NONE,FALSE,0.0
CLM-000059,Casey Wilkins,vargasbryan@example.net,(634)545-6557,POL-493537,home,2022-02-20,2024-11-10,Want carry show board black last.,2024-11-13,11940.14,100000,11.94,3,12113.32,0,Russell-Herrera,12867.05,8,Later leg system bed space fight relate owner Democrat task chance represent.,NONE,FALSE,0.0
CLM-000060,Anthony Evans,anthonysullivan@example.com,+1-283-517-1210,POL-991597,umbrella,2024-11-11,2026-08-17,Cup hundred rather visit base only true.,2026-08-19,2936.12,100000,2.94,2,3058.43,4,Johnson Inc,3331.88,5,Total kitchen can toward stop former amount leave collection off start house.,NONE,FALSE,0.0
CLM-000061,Carrie Lewis,joshuagriffin@example.org,9992934768,POL-630538,umbrella,2023-09-17,2024-09-30,Evidence case current this moment piece soon.,2024-10-05,9139.18,50000,18.28,5,7346.03,3,Mayo Ltd,10479.89,3,Look sit general not focus establish ago others ahead specific exactly speak line group once.,NONE,FALSE,0.0
CLM-000062,David Allen,gallagherstacie@example.net,(452)523-9559x0599,POL-968962,home,2023-02-03,2025-02-26,My compare also argue own after long forward pass southern future concern.,2025-03-02,19254.96,100000,19.25,4,16287.72,1,Brown-Hernandez,21568.22,8,Similar suffer team whether health walk how big few carry church.,NONE,FALSE,0.0
CLM-000063,Toni Banks,jasminehoffman@example.net,(239)426-4422x096,POL-912270,home,2025-03-15,2026-08-03,Fish speak particularly policy bit many former back get floor player white start.,2026-08-06,12702.33,100000,12.7,3,11821.71,5,"Fowler, Tanner and Griffin",13689.84,5,Decide really go skin result answer just information coach increase think goal heart.,NONE,FALSE,0.0
CLM-000064,Laura Chang,franciscojones@example.org,705-941-1526x2181,POL-392477,home,2025-08-01,2026-05-07,Issue president parent its approach former.,2026-05-14,5664.41,100000,5.66,7,5806.83,4,Ortiz PLC,6135.12,6,Enter example down anyone occur style child guess into far product outside current agent color factor bank such final.,NONE,FALSE,0.0
CLM-000065,Matthew Davis MD,nathanjames@example.org,304.777.4349x021,POL-290672,home,2024-10-22,2025-06-26,Including series dinner article hit mission whole reach view of dog federal.,2025-06-29,1545.3,100000,1.55,3,1400.73,2,Orr-Klein,1548.55,7,Number might number work challenge we last we cold deep cover amount bad raise dark state challenge organization.,NONE,FALSE,0.0
CLM-000066,Renee Miller,rarnold@example.net,309.398.6162x299,POL-641722,auto,2025-01-03,2025-04-30,Single size test they there enough pressure occur list common idea peace race.,2025-05-06,17722.04,100000,17.72,6,15460.83,3,Williams-Preston,18547.41,4,Real any little environmental head full soldier financial successful teach range win direction feel season.,NONE,FALSE,0.0
CLM-000067,Nicholas Jacobs,lopezjason@example.com,001-278-450-8214x8628,POL-569945,auto,2025-11-23,2026-03-28,Themselves customer arm almost anything growth current happy.,2026-04-03,10045.77,100000,10.05,6,8923.36,3,Wagner-Reid,11126.05,5,Race drop major land whether listen necessary general study else store.,NONE,FALSE,0.0
CLM-000068,Anthony Nash,mercedesholland@example.net,246.580.0722,POL-656711,home,2023-08-07,2024-11-14,Part wall require remember every time surface learn design.,2024-11-20,12049.56,50000,24.1,6,13242.34,4,Byrd-Holloway,12040.37,8,Once account yourself whom style no order executive range loss from everybody foot everybody prevent weight.,NONE,FALSE,0.0
CLM-000069,Joseph Allen,trujilloleah@example.net,(552)707-4466x6099,POL-226516,umbrella,2025-05-16,2025-12-29,Rather point little wait grow feel color price.,2026-01-02,6147.41,50000,12.29,4,5499.87,5,"White, Davis and Anderson",6520.92,8,Rise next tree water tonight pressure develop development the inside thought he one.,NONE,FALSE,0.0
CLM-000070,Anthony Walters,kennedyjames@example.org,+1-768-446-0223x56972,POL-389930,umbrella,2023-11-20,2025-08-14,Maintain piece computer play above event seven.,2025-08-16,4639.28,100000,4.64,2,5070.65,4,Johnston and Sons,5005.96,3,Size sister can its investment investment local above move room wear throughout series most adult above safe difficult.,NONE,FALSE,0.0
CLM-000071,Brian Gordon,gary04@example.com,889.285.6257x532,POL-288158,home,2026-04-29,2026-06-12,Difference world deep against mean but represent society.,2026-06-19,4688.23,50000,9.38,7,4746.39,1,Mcdowell-Scott,4605.22,3,Perhaps order answer blue structure answer break know buy education reduce day rate act inside big minute performance red.,NONE,FALSE,0.0
CLM-000072,Kayla Williamson,daniel17@example.org,+1-534-983-5642x087,POL-768854,home,2025-02-27,2025-07-12,Doctor actually become book off management we single avoid rich.,2025-07-17,6550.6,100000,6.55,5,6955.53,4,Newman-Bryant,6454.32,6,Enough anyone spend them system growth quality international break surface three act catch positive.,NONE,FALSE,0.0
CLM-000073,Tina Adams,watsonmatthew@example.org,(867)946-7621x2021,POL-364742,home,2024-12-12,2025-05-07,Question consider here grow agreement range stuff wind candidate turn both in animal.,2025-05-11,7473.41,100000,7.47,4,7821.93,3,Pena-Smith,7828.58,7,Should office north within prove full mission red believe product eat generation put his stuff next write approach poor.,NONE,FALSE,0.0
CLM-000074,Sarah Booth,waltonmalik@example.com,908-338-6631x779,POL-950544,umbrella,2024-01-26,2025-01-01,Language budget market president bill include news a before page people fight.,2025-01-07,14042.57,50000,28.09,6,11592.9,1,"Hart, Pena and Bryant",13137.32,6,Guy approach development lawyer nice people list price respond box service develop game stop who.,NONE,FALSE,0.0
CLM-000075,Michaela Williams,travisunderwood@example.net,001-361-849-3316x3735,POL-913373,umbrella,2024-02-16,2025-04-10,Unit study open sign late probably.,2025-04-15,12326.41,100000,12.33,5,11527.1,3,"Taylor, Porter and Moreno",12193.36,7,Network item one under sit travel reality community spring.,NONE,FALSE,0.0
CLM-000076,Lisa Morris,mbarnes@example.net,001-734-565-4722x69848,POL-739244,umbrella,2024-07-15,2024-11-23,Decide research rather TV car report window concern.,2024-11-27,6802.22,100000,6.8,4,7375.49,1,"Benson, Morris and Wilson",7398.47,5,No old wall report purpose throw move there institution actually blood herself apply argue environment.,NONE,FALSE,0.0
CLM-000077,Miss Brianna Brown,james80@example.com,819.883.8638x406,POL-678805,auto,2025-09-28,2026-04-06,Whole approach season data than team kitchen difficult plant remember.,2026-04-12,2542.56,50000,5.09,6,2036.09,3,Fischer-Payne,2814.13,6,Cultural right cover large work avoid while same budget American evidence enough claim suffer accept letter visit always up others.,NONE,FALSE,0.0
CLM-000078,Sarah Turner,charles58@example.org,(381)782-6886,POL-396451,umbrella,2023-09-30,2026-03-28,Third professional former family wear peace little no.,2026-03-31,1620.16,50000,3.24,3,1516.81,5,"Smith, Caldwell and Griffin",1571.6,5,Truth during always those high someone box either rich agency might side method meet main fast prepare fly bank benefit.,NONE,FALSE,0.0
CLM-000079,Kim Sims,ellenayala@example.net,(413)686-1207x50110,POL-942956,auto,2025-05-12,2026-08-20,Audience start treat imagine later identify first hope brother accept result as second.,2026-08-27,16033.71,100000,16.03,7,13379.05,1,Haynes Inc,17545.54,5,Up blood skin feeling beat she join house produce listen mouth carry hospital something nation.,NONE,FALSE,0.0
CLM-000080,Michael Sloan,susan08@example.net,(310)609-9688,POL-931131,home,2024-11-10,2026-08-11,Security tough gas include position mention claim determine.,2026-08-18,3702.49,50000,7.4,7,3793.89,4,Lee-White,4355.45,6,System surface usually yes leave near fact attack better rise maintain former campaign pretty beyond people too fish late.,NONE,FALSE,0.0
CLM-000081,Kevin Cunningham,lindsey62@example.org,333-464-5257x77547,POL-522060,home,2024-06-09,2025-12-03,Bank exactly step through cultural safe phone road throughout support place spend often.,2025-12-04,9905.26,50000,19.81,1,9528.81,3,"Lewis, Johnson and Green",9153.77,3,Line simple hand development sign run fact let member however maybe production summer southern pass coach method land condition.,NONE,FALSE,0.0
CLM-000082,Tracy Fitzgerald,ccrosby@example.org,001-273-214-5303x85677,POL-127121,auto,2025-11-12,2026-08-03,Billion why plant event score official now heavy her onto.,2026-08-07,14956.14,100000,14.96,4,16280.86,4,Black Group,16094.85,3,Might good test main lot page maybe catch close baby poor deep cost.,NONE,FALSE,0.0
CLM-000083,Bailey Hall,jennifer77@example.com,492.460.3029,POL-142185,auto,2024-01-06,2025-05-31,Mention three chair coach two might if wide point these road start water describe.,2025-06-07,13773.35,50000,27.55,7,13163.04,3,"Haney, Dillon and Jackson",16181.23,4,Over some star consider process enough right garden law opportunity discover history board dark teacher mean.,NONE,FALSE,0.0
